Common_Name,Family,Scientific_Name,Threat_Level,US_Nativity
Norway maple,Aceraceae,Acer platanoides L.,1,Exotic
Japanese chaff flower,Amaranthaceae,Achyranthes japonica (Miq.) Nakai,1,Exotic
creeping bentgrass,Poaceae,Agrostis stolonifera L.,1,Exotic
tree-of-heaven,Simaroubaceae,Ailanthus altissima (P. Mill.) Swingle,1,Exotic
chocolate vine,Lardizabalaceae,Akebia quinata (Houtt.) Dcne.,1,Exotic
mimosa,Fabaceae (Leguminosae),Albizia julibrissin Durazz.,1,Exotic
garlic mustard,Brassicaceae,Alliaria petiolata (Bieb.) Cavara & Grande,1,Exotic
cultivated garlic,Amaryllidaceae,Allium sativum L.,1,Exotic
wild garlic,Amaryllidaceae,Allium vineale L.,1,Exotic
European black alder,Betulaceae,Alnus glutinosa (L.) Gaertn.,1,Exotic
alligatorweed,Amaranthaceae,Alternanthera philoxeroides (Mart.) Griseb.,1,Exotic
porcelain-berry,Vitaceae,Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.,1,Exotic
common burdock,Asteraceae,Arctium minus Bernh.,1,Exotic
thymeleaf sandwort,Caryophyllaceae,Arenaria serpyllifolia L.,1,Exotic
mugwort,Asteraceae,Artemisia vulgaris L.,1,Exotic
"small carpetgrass, joint-head grass",Poaceae,Arthraxon hispidus (Thunb.) Makino,1,Exotic
giant reed,Poaceae,Arundo donax L.,1,Exotic
yellow rocket,Brassicaceae,Barbarea vulgaris Ait. f.,1,Exotic
Japanese barberry,Berberidaceae,Berberis thunbergii DC.,1,Exotic
field brome,Poaceae,Bromus arvensis L.,1,Exotic
rescuegrass,Poaceae,Bromus catharticus Vahl,1,Exotic
soft brome,Poaceae,Bromus hordeaceus L.,1,Exotic
smooth brome,Poaceae,Bromus inermis Leyss.,1,Exotic
Japanese brome,Poaceae,Bromus japonicus Thunb.,1,Exotic
bald brome,Poaceae,Bromus racemosus L.,1,Exotic
cheatgrass,Poaceae,Bromus tectorum L.,1,Exotic
paper-mulberry,Moraceae,Broussonetia papyrifera (L.) L'Hér. ex Vent.,1,Exotic
butterflybush,Scrophulariaceae,Buddleja davidii Franch.,1,Exotic
corn gromwell,Boraginaceae,Buglossoides arvensis (L.) I.M. Johnston,1,Exotic
balloonvine,Sapindaceae,Cardiospermum halicacabum L.,1,Exotic
spiny plumeless thistle,Asteraceae,Carduus acanthoides L.,1,Exotic
musk thistle,Asteraceae,Carduus nutans L.,1,Exotic
oriental bittersweet,Celastraceae,Celastrus orbiculatus Thunb.,1,Exotic
spotted knapweed,Asteraceae,Centaurea stoebe ssp. micranthos (Gugler) Hayek,1,Exotic
lambsquarters,Chenopodiaceae,Chenopodium album L,1,Exotic
chicory,Asteraceae,Cichorium intybus L.,1,Exotic
Canada thistle,Asteraceae,Cirsium arvense (L.) Scop.,1,Exotic
bull thistle,Asteraceae,Cirsium vulgare (Savi) Ten.,1,Exotic
sweet autumn virginsbower,Ranunculaceae,Clematis terniflora DC,2,Exotic
Asiatic dayflower,Commelinaceae,Commelina communis L.,2,Exotic
poison hemlock,Apiaceae,Conium maculatum L.,2,Exotic
field bindweed,Convolvulaceae,Convolvulus arvensis L.,2,Exotic
piedmont bedstraw,Rubiaceae,Cruciata pedemontana (Bellardi) Ehrend.,2,Exotic
"Queen Anne's lace, wild carrot",Apiaceae,Daucus carota L.,2,Exotic
fuzzy pride-of-Rochester,Hydrangeaceae,Deutzia scabra Thunb.,2,Exotic
"didymo, rock snot",Cymbellaceae,Didymosphenia geminata (Lyngbye) M. Schmidt,2,Exotic
Chinese yam,Dioscoreaceae,Dioscorea polystachya Turcz.,2,Exotic
common teasel,Dipsacaceae,Dipsacus fullonum L.,2,Exotic
cutleaf teasel,Dipsacaceae,Dipsacus laciniatus L.,2,Exotic
barnyardgrass,Poaceae,Echinochloa crus-galli (L.) Beauv,2,Exotic
Brazilian waterweed,Hydrocharitaceae,Egeria densa Planch.,2,Exotic
common water hyacinth,Pontederiaceae,Eichhornia crassipes (Mart.) Solms,2,Exotic
Russian olive,Elaeagnaceae,Elaeagnus angustifolia L.,2,Exotic
autumn olive,Elaeagnaceae,Elaeagnus umbellata Thunb.,2,Exotic
goosegrass,Poaceae,Eleusine indica (L.) Gaertn.,2,Exotic
quackgrass,Poaceae,Elymus repens (L.) Gould,2,Exotic
stinkgrass,Poaceae,Eragrostis cilianensis (All.) Vign. ex Janchen,2,Exotic
weeping lovegrass,Poaceae,Eragrostis curvula (Schrad.) Nees,2,Exotic
winged burning bush,Celastraceae,Euonymus alatus (Thunb.) Sieb.,2,Exotic
winter creeper,Celastraceae,Euonymus fortunei (Turcz.) Hand.-Maz.,2,Exotic
leafy spurge,Euphorbiaceae,Euphorbia esula L.,2,Exotic
mulberryweed,Moraceae,Fatoua villosa (Thunb.) Nakai,2,Exotic
tall fescue,Poaceae,Festuca arundinacea Schreb.,2,Exotic
meadow fescue,Poaceae,Festuca pratensis Huds.,2,Exotic
"lesser celandine, fig buttercup",Ranunculaceae,Ficaria verna Huds.,2,Exotic
glossy buckthorn,Rhamnaceae,Frangula alnus Mill.,2,Exotic
ground ivy,Lamiaceae,Glechoma hederacea L.,2,Exotic
English ivy,Araliaceae,Hedera helix L.,2,Exotic
tawny daylily,Liliaceae,Hemerocallis fulva (L.) L.,2,Exotic
dames rocket,Brassicaceae,Hesperis matronalis L.,2,Exotic
rose of Sharon,Malvaceae,Hibiscus syriacus L.,2,Exotic
common velvetgrass,Poaceae,Holcus lanatus L.,2,Exotic
Japanese hop,Cannabaceae,Humulus japonicus Siebold & Zucc.,2,Exotic
hydrilla,Hydrocharitaceae,Hydrilla verticillata (L. f.) Royle,2,Exotic
common St. Johnswort,Clusiaceae,Hypericum perforatum L.,2,Exotic
