Scientific_Name,Subject_Name,Family,US_Nativity
Acer platanoides L.,Norway maple,Aceraceae,Exotic
Achyranthes japonica (Miq.) Nakai,Japanese chaff flower,Amaranthaceae,Exotic
Agrostis stolonifera L.,creeping bentgrass,Poaceae,Exotic
Ailanthus altissima (P. Mill.) Swingle,tree-of-heaven,Simaroubaceae,Exotic
Akebia quinata (Houtt.) Dcne.,chocolate vine,Lardizabalaceae,Exotic
Albizia julibrissin Durazz.,mimosa,Fabaceae (Leguminosae),Exotic
Alliaria petiolata (Bieb.) Cavara & Grande,garlic mustard,Brassicaceae,Exotic
Allium sativum L.,cultivated garlic,Amaryllidaceae,Exotic
Allium vineale L.,wild garlic,Amaryllidaceae,Exotic
Alnus glutinosa (L.) Gaertn.,European black alder,Betulaceae,Exotic
Alternanthera philoxeroides (Mart.) Griseb.,alligatorweed,Amaranthaceae,Exotic
Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.,porcelain-berry,Vitaceae,Exotic
Arctium minus Bernh.,common burdock,Asteraceae,Exotic
Arenaria serpyllifolia L.,thymeleaf sandwort,Caryophyllaceae,Exotic
Artemisia vulgaris L.,mugwort,Asteraceae,Exotic
Arthraxon hispidus (Thunb.) Makino,"small carpetgrass, joint-head grass",Poaceae,Exotic
Arundo donax L.,giant reed,Poaceae,Exotic
Barbarea vulgaris Ait. f.,yellow rocket,Brassicaceae,Exotic
Berberis thunbergii DC.,Japanese barberry,Berberidaceae,Exotic
Bromus arvensis L.,field brome,Poaceae,Exotic
Bromus catharticus Vahl,rescuegrass,Poaceae,Exotic
Bromus hordeaceus L.,soft brome,Poaceae,Exotic
Bromus inermis Leyss.,smooth brome,Poaceae,Exotic
Bromus japonicus Thunb.,Japanese brome,Poaceae,Exotic
Bromus racemosus L.,bald brome,Poaceae,Exotic
Bromus tectorum L.,cheatgrass,Poaceae,Exotic
Broussonetia papyrifera (L.) L'Hér. ex Vent.,paper-mulberry,Moraceae,Exotic
Buddleja davidii Franch.,butterflybush,Scrophulariaceae,Exotic
Buglossoides arvensis (L.) I.M. Johnston,corn gromwell,Boraginaceae,Exotic
Cardiospermum halicacabum L.,balloonvine,Sapindaceae,Exotic
Carduus acanthoides L.,spiny plumeless thistle,Asteraceae,Exotic
Carduus nutans L.,musk thistle,Asteraceae,Exotic
Celastrus orbiculatus Thunb.,oriental bittersweet,Celastraceae,Exotic
Centaurea stoebe ssp. micranthos (Gugler) Hayek,spotted knapweed,Asteraceae,Exotic
Chenopodium album L,lambsquarters,Chenopodiaceae,Exotic
Cichorium intybus L.,chicory,Asteraceae,Exotic
Cirsium arvense (L.) Scop.,Canada thistle,Asteraceae,Exotic
Cirsium vulgare (Savi) Ten.,bull thistle,Asteraceae,Exotic
Clematis terniflora DC,sweet autumn virginsbower,Ranunculaceae,Exotic
Commelina communis L.,Asiatic dayflower,Commelinaceae,Exotic
Conium maculatum L.,poison hemlock,Apiaceae,Exotic
Convolvulus arvensis L.,field bindweed,Convolvulaceae,Exotic
Cruciata pedemontana (Bellardi) Ehrend.,piedmont bedstraw,Rubiaceae,Exotic
Daucus carota L.,"Queen Anne's lace, wild carrot",Apiaceae,Exotic
Deutzia scabra Thunb.,fuzzy pride-of-Rochester,Hydrangeaceae,Exotic
Didymosphenia geminata (Lyngbye) M. Schmidt,"didymo, rock snot",Cymbellaceae,Exotic
Dioscorea polystachya Turcz.,Chinese yam,Dioscoreaceae,Exotic
Dipsacus fullonum L.,common teasel,Dipsacaceae,Exotic
Dipsacus laciniatus L.,cutleaf teasel,Dipsacaceae,Exotic
Echinochloa crus-galli (L.) Beauv,barnyardgrass,Poaceae,Exotic
Egeria densa Planch.,Brazilian waterweed,Hydrocharitaceae,Exotic
Eichhornia crassipes (Mart.) Solms,common water hyacinth,Pontederiaceae,Exotic
Elaeagnus angustifolia L.,Russian olive,Elaeagnaceae,Exotic
Elaeagnus umbellata Thunb.,autumn olive,Elaeagnaceae,Exotic
Eleusine indica (L.) Gaertn.,goosegrass,Poaceae,Exotic
Elymus repens (L.) Gould,quackgrass,Poaceae,Exotic
Eragrostis cilianensis (All.) Vign. ex Janchen,stinkgrass,Poaceae,Exotic
Eragrostis curvula (Schrad.) Nees,weeping lovegrass,Poaceae,Exotic
Euonymus alatus (Thunb.) Sieb.,winged burning bush,Celastraceae,Exotic
Euonymus fortunei (Turcz.) Hand.-Maz.,winter creeper,Celastraceae,Exotic
Euphorbia esula L.,leafy spurge,Euphorbiaceae,Exotic
